,prot1,prot2,index
42,sp|P30484|1B46_HUMAN,sp|P18463|1B37_HUMAN,0.30952380952380953
43,sp|P30484|1B46_HUMAN,sp|P30488|1B50_HUMAN,0.3253012048192771
44,sp|P30484|1B46_HUMAN,sp|P10319|1B58_HUMAN,0.4155844155844156
45,sp|P30484|1B46_HUMAN,sp|Q95365|1B38_HUMAN,0.29411764705882354
46,sp|P30484|1B46_HUMAN,sp|P18464|1B51_HUMAN,0.3333333333333333
47,sp|P30484|1B46_HUMAN,sp|P30492|1B54_HUMAN,0.38461538461538464
48,sp|P30484|1B46_HUMAN,sp|P30466|1B18_HUMAN,0.3924050632911392
49,sp|P30484|1B46_HUMAN,sp|P30485|1B47_HUMAN,0.26436781609195403
50,sp|P30484|1B46_HUMAN,sp|P03989|1B27_HUMAN,0.2558139534883721
51,sp|P30484|1B46_HUMAN,sp|P30495|1B56_HUMAN,0.44
52,sp|P30484|1B46_HUMAN,sp|P30464|1B15_HUMAN,0.8032786885245902
53,sp|P30484|1B46_HUMAN,sp|P30490|1B52_HUMAN,0.3333333333333333
54,sp|P30484|1B46_HUMAN,sp|Q29718|1B82_HUMAN,0.375
55,sp|P30484|1B46_HUMAN,sp|P30491|1B53_HUMAN,0.42857142857142855
56,sp|P30484|1B46_HUMAN,sp|P18465|1B57_HUMAN,0.4266666666666667
57,sp|P30484|1B46_HUMAN,sp|P30487|1B49_HUMAN,0.3253012048192771
58,sp|P30484|1B46_HUMAN,sp|P30685|1B35_HUMAN,0.42857142857142855
59,sp|P30484|1B46_HUMAN,sp|P30493|1B55_HUMAN,0.4025974025974026
60,sp|P30484|1B46_HUMAN,sp|Q29836|1B67_HUMAN,0.34146341463414637
61,sp|P30484|1B46_HUMAN,sp|P30483|1B45_HUMAN,0.29411764705882354
62,sp|P30481|1B44_HUMAN,sp|Q29940|1B59_HUMAN,0.2558139534883721
63,sp|P30481|1B44_HUMAN,sp|P30461|1B13_HUMAN,0.40789473684210525
64,sp|P30481|1B44_HUMAN,sp|P18463|1B37_HUMAN,0.30952380952380953
65,sp|P30481|1B44_HUMAN,sp|P30488|1B50_HUMAN,0.34146341463414637
66,sp|P30481|1B44_HUMAN,sp|Q95365|1B38_HUMAN,0.26436781609195403
67,sp|P30481|1B44_HUMAN,sp|P30485|1B47_HUMAN,0.4666666666666667
68,sp|P30481|1B44_HUMAN,sp|P03989|1B27_HUMAN,0.3170731707317073
69,sp|P30481|1B44_HUMAN,sp|P30464|1B15_HUMAN,0.30952380952380953
70,sp|P30481|1B44_HUMAN,sp|P30490|1B52_HUMAN,0.2558139534883721
71,sp|P30481|1B44_HUMAN,sp|P30479|1B41_HUMAN,0.4
72,sp|P30481|1B44_HUMAN,sp|P30491|1B53_HUMAN,0.26436781609195403
73,sp|P30481|1B44_HUMAN,sp|P18465|1B57_HUMAN,0.27380952380952384
74,sp|P30481|1B44_HUMAN,sp|Q04826|1B40_HUMAN,0.41025641025641024
75,sp|P30481|1B44_HUMAN,sp|P30487|1B49_HUMAN,0.35802469135802467
76,sp|P30481|1B44_HUMAN,sp|P30483|1B45_HUMAN,0.42857142857142855
77,sp|P10589|COT1_HUMAN,sp|P24468|COT2_HUMAN,0.36486486486486486
78,sp|P24468|COT2_HUMAN,sp|P10589|COT1_HUMAN,0.36486486486486486
79,sp|A4FU28|CTGE9_HUMAN,sp|Q86UF2|CTGE6_HUMAN,0.45685279187817257
80,sp|A4FU28|CTGE9_HUMAN,sp|A4D2H0|CTGEF_HUMAN,0.543010752688172
81,sp|A4FU28|CTGE9_HUMAN,sp|Q8IX94|CTGE4_HUMAN,0.7924528301886793
82,sp|A4FU28|CTGE9_HUMAN,sp|P0CG41|CTGE8_HUMAN,0.7950310559006211
83,sp|P0C7V4|F90AJ_HUMAN,sp|P0C7W8|F90AD_HUMAN,0.922077922077922
84,sp|P0C7V4|F90AJ_HUMAN,sp|A6NKC0|F90A7_HUMAN,0.3904761904761905
85,sp|P0C7V4|F90AJ_HUMAN,sp|A6NJQ4|F90A8_HUMAN,0.4845360824742268
86,sp|P0C7V4|F90AJ_HUMAN,sp|A8MXZ1|F90AN_HUMAN,0.6781609195402298
87,sp|P0C7V4|F90AJ_HUMAN,sp|A6NIJ5|F90AK_HUMAN,0.3853211009174312
88,sp|P0C7V4|F90AJ_HUMAN,sp|A6NEW6|F90AG_HUMAN,0.6404494382022472
89,sp|P0C7V4|F90AJ_HUMAN,sp|P0C7W9|F90AE_HUMAN,0.922077922077922
90,sp|P0C7V4|F90AJ_HUMAN,sp|A6NDY2|F90AA_HUMAN,0.5106382978723404
91,sp|P0C7V4|F90AJ_HUMAN,sp|A6NNJ1|F90A9_HUMAN,0.5869565217391305
92,sp|P0C7V4|F90AJ_HUMAN,sp|A8MX19|F90AC_HUMAN,0.4897959183673469
93,sp|P0C7V4|F90AJ_HUMAN,sp|P0C7X0|F90AO_HUMAN,0.6818181818181818
94,sp|P0C7V4|F90AJ_HUMAN,sp|A6NE21|F90AI_HUMAN,0.5157894736842106
95,sp|P0C7V4|F90AJ_HUMAN,sp|A8MWA6|F90AM_HUMAN,0.4536082474226804
96,sp|P0C7V4|F90AJ_HUMAN,sp|A8MXJ8|F90A5_HUMAN,0.8961038961038961
97,sp|P04899|GNAI2_HUMAN,sp|P63096|GNAI1_HUMAN,0.2872340425531915
98,sp|A8MQT2|GOG8B_HUMAN,sp|A7E2F4|GOG8A_HUMAN,0.7627118644067796
99,sp|P63261|ACTG_HUMAN,sp|P62736|ACTA_HUMAN,0.29411764705882354
100,sp|P63261|ACTG_HUMAN,sp|P68032|ACTC_HUMAN,0.30952380952380953
101,sp|P63261|ACTG_HUMAN,sp|P63267|ACTH_HUMAN,0.27058823529411763
102,sp|P63261|ACTG_HUMAN,sp|P68133|ACTS_HUMAN,0.27906976744186046
103,sp|P63261|ACTG_HUMAN,sp|P60709|ACTB_HUMAN,0.9298245614035088
104,sp|P0DN79|CBSL_HUMAN,sp|P35520|CBS_HUMAN,1.0
105,sp|P13236|CCL4_HUMAN,sp|Q8NHW4|CC4L_HUMAN,0.3333333333333333
106,sp|Q6NSW5|FA45B_HUMAN,sp|Q8TCE6|FA45A_HUMAN,0.6716417910447762
107,sp|Q63HN1|F205B_HUMAN,sp|Q6ZU69|F205A_HUMAN,0.28484848484848485
108,sp|P30475|1B39_HUMAN,sp|P30484|1B46_HUMAN,0.34146341463414637
109,sp|P30475|1B39_HUMAN,sp|P30486|1B48_HUMAN,0.34146341463414637
110,sp|P30475|1B39_HUMAN,sp|Q29940|1B59_HUMAN,0.3333333333333333
111,sp|P30475|1B39_HUMAN,sp|P18463|1B37_HUMAN,0.30952380952380953
112,sp|P30475|1B39_HUMAN,sp|P30488|1B50_HUMAN,0.27906976744186046
113,sp|P30475|1B39_HUMAN,sp|Q95365|1B38_HUMAN,0.7741935483870968
114,sp|P30475|1B39_HUMAN,sp|Q31610|1B81_HUMAN,0.29411764705882354
115,sp|P30475|1B39_HUMAN,sp|P30492|1B54_HUMAN,0.30120481927710846
116,sp|P30475|1B39_HUMAN,sp|P30460|1B08_HUMAN,0.375
117,sp|P30475|1B39_HUMAN,sp|P30466|1B18_HUMAN,0.34146341463414637
118,sp|P30475|1B39_HUMAN,sp|P03989|1B27_HUMAN,0.3333333333333333
119,sp|P30475|1B39_HUMAN,sp|P30495|1B56_HUMAN,0.35
120,sp|P30475|1B39_HUMAN,sp|P30464|1B15_HUMAN,0.35802469135802467
121,sp|P30475|1B39_HUMAN,sp|Q29718|1B82_HUMAN,0.3924050632911392
122,sp|P30475|1B39_HUMAN,sp|P30462|1B14_HUMAN,0.5652173913043478
123,sp|P30475|1B39_HUMAN,sp|P30480|1B42_HUMAN,0.3924050632911392
124,sp|P30475|1B39_HUMAN,sp|P18465|1B57_HUMAN,0.2891566265060241
125,sp|P30475|1B39_HUMAN,sp|Q04826|1B40_HUMAN,0.26436781609195403
126,sp|P30475|1B39_HUMAN,sp|P30487|1B49_HUMAN,0.26436781609195403
127,sp|P30475|1B39_HUMAN,sp|P30685|1B35_HUMAN,0.26436781609195403
128,sp|P30475|1B39_HUMAN,sp|P30493|1B55_HUMAN,0.3170731707317073
129,sp|P30475|1B39_HUMAN,sp|Q29836|1B67_HUMAN,0.8333333333333334
130,sp|P30475|1B39_HUMAN,sp|P01889|1B07_HUMAN,0.3924050632911392
131,sp|P30475|1B39_HUMAN,sp|P30483|1B45_HUMAN,0.27906976744186046
132,sp|A6NM10|AQ12B_HUMAN,sp|Q8IXF9|AQ12A_HUMAN,0.6521739130434783
133,sp|A2A2Z9|AN18B_HUMAN,sp|Q8IVF6|AN18A_HUMAN,0.2912621359223301
134,sp|Q02928|CP4AB_HUMAN,sp|Q5TCH4|CP4AM_HUMAN,0.32
135,sp|Q9NYA3|GOG6A_HUMAN,sp|A6NDN3|GOG6B_HUMAN,0.8083333333333333
136,sp|Q9NYA3|GOG6A_HUMAN,sp|A6NDK9|GOG6C_HUMAN,0.8016528925619835
137,sp|Q9NYA3|GOG6A_HUMAN,sp|P0CG33|GOG6D_HUMAN,0.7933884297520661
138,sp|Q9TNN7|1C05_HUMAN,sp|P30510|1C14_HUMAN,0.34615384615384615
139,sp|Q9TNN7|1C05_HUMAN,sp|Q07000|1C15_HUMAN,0.34146341463414637
140,sp|Q9TNN7|1C05_HUMAN,sp|Q29865|1C18_HUMAN,0.325
141,sp|Q9TNN7|1C05_HUMAN,sp|Q29960|1C16_HUMAN,0.32926829268292684
142,sp|Q9TNN7|1C05_HUMAN,sp|P30508|1C12_HUMAN,0.4230769230769231
143,sp|Q9TNN7|1C05_HUMAN,sp|Q29963|1C06_HUMAN,0.3170731707317073
144,sp|Q9TNN7|1C05_HUMAN,sp|P30504|1C04_HUMAN,0.27710843373493976
145,sp|Q9TNN7|1C05_HUMAN,sp|P30505|1C08_HUMAN,0.703125
146,sp|P30486|1B48_HUMAN,sp|P30475|1B39_HUMAN,0.34146341463414637
147,sp|P30486|1B48_HUMAN,sp|P30461|1B13_HUMAN,0.2891566265060241
148,sp|P30486|1B48_HUMAN,sp|Q95365|1B38_HUMAN,0.34146341463414637
149,sp|P30486|1B48_HUMAN,sp|Q31610|1B81_HUMAN,0.746031746031746
150,sp|P30486|1B48_HUMAN,sp|P30460|1B08_HUMAN,0.42857142857142855
151,sp|P30486|1B48_HUMAN,sp|P03989|1B27_HUMAN,0.27058823529411763
152,sp|P30486|1B48_HUMAN,sp|P30462|1B14_HUMAN,0.30120481927710846
153,sp|P30486|1B48_HUMAN,sp|P30479|1B41_HUMAN,0.3176470588235294
154,sp|P30486|1B48_HUMAN,sp|P30480|1B42_HUMAN,0.4864864864864865
155,sp|P30486|1B48_HUMAN,sp|Q04826|1B40_HUMAN,0.42857142857142855
156,sp|P30486|1B48_HUMAN,sp|Q29836|1B67_HUMAN,0.34146341463414637
157,sp|P30486|1B48_HUMAN,sp|P01889|1B07_HUMAN,0.5068493150684932
158,sp|Q29940|1B59_HUMAN,sp|P30484|1B46_HUMAN,0.4025974025974026
159,sp|Q29940|1B59_HUMAN,sp|P30481|1B44_HUMAN,0.2558139534883721
160,sp|Q29940|1B59_HUMAN,sp|P30475|1B39_HUMAN,0.3333333333333333
161,sp|Q29940|1B59_HUMAN,sp|P30498|1B78_HUMAN,0.34177215189873417
162,sp|Q29940|1B59_HUMAN,sp|P30461|1B13_HUMAN,0.36363636363636365
163,sp|Q29940|1B59_HUMAN,sp|P18463|1B37_HUMAN,0.3670886075949367
164,sp|Q29940|1B59_HUMAN,sp|P30488|1B50_HUMAN,0.3170731707317073
165,sp|Q29940|1B59_HUMAN,sp|P10319|1B58_HUMAN,0.38961038961038963
166,sp|Q29940|1B59_HUMAN,sp|Q95365|1B38_HUMAN,0.38461538461538464
167,sp|Q29940|1B59_HUMAN,sp|P18464|1B51_HUMAN,0.41333333333333333
168,sp|Q29940|1B59_HUMAN,sp|P30492|1B54_HUMAN,0.6307692307692307
169,sp|Q29940|1B59_HUMAN,sp|P30460|1B08_HUMAN,0.27058823529411763
170,sp|Q29940|1B59_HUMAN,sp|P30466|1B18_HUMAN,0.3670886075949367
171,sp|Q29940|1B59_HUMAN,sp|P30485|1B47_HUMAN,0.3170731707317073
172,sp|Q29940|1B59_HUMAN,sp|P03989|1B27_HUMAN,0.325
173,sp|Q29940|1B59_HUMAN,sp|P30495|1B56_HUMAN,0.6307692307692307
174,sp|Q29940|1B59_HUMAN,sp|P30464|1B15_HUMAN,0.42105263157894735
175,sp|Q29940|1B59_HUMAN,sp|P30490|1B52_HUMAN,0.358974358974359
176,sp|Q29940|1B59_HUMAN,sp|Q29718|1B82_HUMAN,0.5
177,sp|Q29940|1B59_HUMAN,sp|P30462|1B14_HUMAN,0.2926829268292683
178,sp|Q29940|1B59_HUMAN,sp|P30491|1B53_HUMAN,0.5
179,sp|Q29940|1B59_HUMAN,sp|P18465|1B57_HUMAN,0.3815789473684211
180,sp|Q29940|1B59_HUMAN,sp|Q04826|1B40_HUMAN,0.2558139534883721
181,sp|Q29940|1B59_HUMAN,sp|P30487|1B49_HUMAN,0.35
182,sp|Q29940|1B59_HUMAN,sp|P30685|1B35_HUMAN,0.4594594594594595
183,sp|Q29940|1B59_HUMAN,sp|P30493|1B55_HUMAN,0.6307692307692307
184,sp|Q29940|1B59_HUMAN,sp|Q29836|1B67_HUMAN,0.3333333333333333
185,sp|Q29940|1B59_HUMAN,sp|P30483|1B45_HUMAN,0.3170731707317073
186,sp|P30498|1B78_HUMAN,sp|P30484|1B46_HUMAN,0.3333333333333333
187,sp|P30498|1B78_HUMAN,sp|Q29940|1B59_HUMAN,0.34177215189873417
188,sp|P30498|1B78_HUMAN,sp|P18463|1B37_HUMAN,0.2558139534883721
189,sp|P30498|1B78_HUMAN,sp|P30488|1B50_HUMAN,0.30120481927710846
190,sp|P30498|1B78_HUMAN,sp|P10319|1B58_HUMAN,0.44594594594594594
191,sp|P30498|1B78_HUMAN,sp|P18464|1B51_HUMAN,0.7666666666666667
192,sp|P30498|1B78_HUMAN,sp|P30492|1B54_HUMAN,0.30864197530864196
193,sp|P30498|1B78_HUMAN,sp|P30466|1B18_HUMAN,0.3170731707317073
194,sp|P30498|1B78_HUMAN,sp|P30495|1B56_HUMAN,0.358974358974359
195,sp|P30498|1B78_HUMAN,sp|P30464|1B15_HUMAN,0.35
196,sp|P30498|1B78_HUMAN,sp|P30490|1B52_HUMAN,0.7096774193548387
197,sp|P30498|1B78_HUMAN,sp|Q29718|1B82_HUMAN,0.27058823529411763
198,sp|P30498|1B78_HUMAN,sp|P30462|1B14_HUMAN,0.30864197530864196
199,sp|P30498|1B78_HUMAN,sp|P30491|1B53_HUMAN,0.5211267605633803
200,sp|P30498|1B78_HUMAN,sp|P18465|1B57_HUMAN,0.3125
201,sp|P30498|1B78_HUMAN,sp|P30487|1B49_HUMAN,0.2857142857142857
202,sp|P30498|1B78_HUMAN,sp|P30685|1B35_HUMAN,0.5428571428571428
203,sp|P30498|1B78_HUMAN,sp|P30493|1B55_HUMAN,0.358974358974359
204,sp|Q96PT3|DUX5_HUMAN,sp|O43812|DUX1_HUMAN,0.8648648648648649
205,sp|Q96PT3|DUX5_HUMAN,sp|Q96PT4|DUX3_HUMAN,0.42
206,sp|Q9UBX2|DUX4_HUMAN,sp|Q6RFH8|DUX4C_HUMAN,0.9148936170212766
207,sp|Q9UBX2|DUX4_HUMAN,sp|P0CJ85|DU4L2_HUMAN,0.9148936170212766
208,sp|Q9UBX2|DUX4_HUMAN,sp|P0CJ88|DU4L5_HUMAN,0.9148936170212766
209,sp|Q9UBX2|DUX4_HUMAN,sp|P0CJ90|DU4L7_HUMAN,0.9148936170212766
210,sp|Q9UBX2|DUX4_HUMAN,sp|P0CJ86|DU4L3_HUMAN,0.9148936170212766
211,sp|Q9UBX2|DUX4_HUMAN,sp|P0CJ87|DU4L4_HUMAN,0.875
212,sp|Q9UBX2|DUX4_HUMAN,sp|P0CJ89|DU4L6_HUMAN,0.9148936170212766
213,sp|P05534|1A24_HUMAN,sp|P30447|1A23_HUMAN,0.7301587301587301
214,sp|P30461|1B13_HUMAN,sp|P30481|1B44_HUMAN,0.40789473684210525
215,sp|P30461|1B13_HUMAN,sp|P30486|1B48_HUMAN,0.2891566265060241
216,sp|P30461|1B13_HUMAN,sp|Q29940|1B59_HUMAN,0.36363636363636365
217,sp|P30461|1B13_HUMAN,sp|P18463|1B37_HUMAN,0.2891566265060241
218,sp|P30461|1B13_HUMAN,sp|P30488|1B50_HUMAN,0.27380952380952384
219,sp|P30461|1B13_HUMAN,sp|Q95365|1B38_HUMAN,0.27380952380952384
220,sp|P30461|1B13_HUMAN,sp|P30492|1B54_HUMAN,0.2804878048780488
221,sp|P30461|1B13_HUMAN,sp|P30485|1B47_HUMAN,0.4861111111111111
222,sp|P30461|1B13_HUMAN,sp|P03989|1B27_HUMAN,0.3815789473684211
223,sp|P30461|1B13_HUMAN,sp|P30495|1B56_HUMAN,0.2962962962962963
224,sp|P30461|1B13_HUMAN,sp|P30464|1B15_HUMAN,0.3048780487804878
225,sp|P30461|1B13_HUMAN,sp|Q29718|1B82_HUMAN,0.25882352941176473
226,sp|P30461|1B13_HUMAN,sp|P30479|1B41_HUMAN,0.2976190476190476
227,sp|P30461|1B13_HUMAN,sp|P18465|1B57_HUMAN,0.31645569620253167
228,sp|P30461|1B13_HUMAN,sp|Q04826|1B40_HUMAN,0.4657534246575342
229,sp|P30461|1B13_HUMAN,sp|P30487|1B49_HUMAN,0.2891566265060241
230,sp|P30461|1B13_HUMAN,sp|P30493|1B55_HUMAN,0.26506024096385544
231,sp|P30461|1B13_HUMAN,sp|P30483|1B45_HUMAN,0.27380952380952384
232,sp|P07355|ANXA2_HUMAN,sp|A6NMY6|AXA2L_HUMAN,0.625
233,sp|Q5VTU8|AT5EL_HUMAN,sp|P56381|ATP5E_HUMAN,0.3333333333333333
234,sp|P61570|ENK25_HUMAN,sp|P61567|ENK7_HUMAN,0.37142857142857144
235,sp|P61570|ENK25_HUMAN,sp|Q69384|ENK6_HUMAN,0.6185567010309279
236,sp|P61570|ENK25_HUMAN,sp|Q9UKH3|ENK9_HUMAN,0.5918367346938775
237,sp|P61570|ENK25_HUMAN,sp|O71037|ENK19_HUMAN,0.5047619047619047
238,sp|P61570|ENK25_HUMAN,sp|P61565|ENK21_HUMAN,0.4811320754716981
239,sp|P61570|ENK25_HUMAN,sp|Q902F8|ENK8_HUMAN,0.5428571428571428
240,sp|P61570|ENK25_HUMAN,sp|Q902F9|EN113_HUMAN,0.4392523364485981
241,sp|P61570|ENK25_HUMAN,sp|P61566|ENK24_HUMAN,0.38613861386138615
242,sp|Q5VT79|AXA81_HUMAN,sp|P13928|ANXA8_HUMAN,0.8260869565217391
243,sp|P0DP24|CALM2_HUMAN,sp|P0DP25|CALM3_HUMAN,1.0
244,sp|P0DP24|CALM2_HUMAN,sp|P0DP23|CALM1_HUMAN,1.0
245,sp|P18463|1B37_HUMAN,sp|P30484|1B46_HUMAN,0.30952380952380953
246,sp|P18463|1B37_HUMAN,sp|P30481|1B44_HUMAN,0.30952380952380953
247,sp|P18463|1B37_HUMAN,sp|P30475|1B39_HUMAN,0.30952380952380953
248,sp|P18463|1B37_HUMAN,sp|Q29940|1B59_HUMAN,0.3670886075949367
249,sp|P18463|1B37_HUMAN,sp|P30498|1B78_HUMAN,0.2558139534883721
250,sp|P18463|1B37_HUMAN,sp|P30461|1B13_HUMAN,0.2891566265060241
251,sp|P18463|1B37_HUMAN,sp|P30488|1B50_HUMAN,0.35802469135802467
252,sp|P18463|1B37_HUMAN,sp|P10319|1B58_HUMAN,0.26744186046511625
253,sp|P18463|1B37_HUMAN,sp|Q95365|1B38_HUMAN,0.3253012048192771
254,sp|P18463|1B37_HUMAN,sp|P18464|1B51_HUMAN,0.27058823529411763
255,sp|P18463|1B37_HUMAN,sp|P30492|1B54_HUMAN,0.3333333333333333
256,sp|P18463|1B37_HUMAN,sp|P30460|1B08_HUMAN,0.29411764705882354
257,sp|P18463|1B37_HUMAN,sp|P30466|1B18_HUMAN,0.42857142857142855
258,sp|P18463|1B37_HUMAN,sp|P30485|1B47_HUMAN,0.35802469135802467
259,sp|P18463|1B37_HUMAN,sp|P03989|1B27_HUMAN,0.35
260,sp|P18463|1B37_HUMAN,sp|P30495|1B56_HUMAN,0.3170731707317073
261,sp|P18463|1B37_HUMAN,sp|P30464|1B15_HUMAN,0.375
262,sp|P18463|1B37_HUMAN,sp|P30490|1B52_HUMAN,0.3170731707317073
263,sp|P18463|1B37_HUMAN,sp|Q29718|1B82_HUMAN,0.3924050632911392
264,sp|P18463|1B37_HUMAN,sp|P30462|1B14_HUMAN,0.35
265,sp|P18463|1B37_HUMAN,sp|P30479|1B41_HUMAN,0.3023255813953488
266,sp|P18463|1B37_HUMAN,sp|P30480|1B42_HUMAN,0.29411764705882354
267,sp|P18463|1B37_HUMAN,sp|P30491|1B53_HUMAN,0.30952380952380953
268,sp|P18463|1B37_HUMAN,sp|Q04826|1B40_HUMAN,0.34146341463414637
269,sp|P18463|1B37_HUMAN,sp|P30487|1B49_HUMAN,0.35802469135802467
270,sp|P18463|1B37_HUMAN,sp|P30685|1B35_HUMAN,0.30952380952380953
271,sp|P18463|1B37_HUMAN,sp|P30493|1B55_HUMAN,0.35
272,sp|P18463|1B37_HUMAN,sp|Q29836|1B67_HUMAN,0.30952380952380953
273,sp|P18463|1B37_HUMAN,sp|P30483|1B45_HUMAN,0.3924050632911392
274,sp|P0C5J1|F86B2_HUMAN,sp|Q8N7N1|F86B1_HUMAN,0.68
275,sp|P01892|1A02_HUMAN,sp|P01891|1A68_HUMAN,0.4025974025974026
276,sp|P01892|1A02_HUMAN,sp|P10316|1A69_HUMAN,0.703125
277,sp|P30512|1A29_HUMAN,sp|P30450|1A26_HUMAN,0.32926829268292684
278,sp|P30512|1A29_HUMAN,sp|P30459|1A74_HUMAN,0.4266666666666667
279,sp|P30512|1A29_HUMAN,sp|P01891|1A68_HUMAN,0.27380952380952384
280,sp|P30512|1A29_HUMAN,sp|P10314|1A32_HUMAN,0.4788732394366197
281,sp|P30512|1A29_HUMAN,sp|P30456|1A43_HUMAN,0.38461538461538464
282,sp|P30512|1A29_HUMAN,sp|P16190|1A33_HUMAN,0.4722222222222222
283,sp|P30512|1A29_HUMAN,sp|P18462|1A25_HUMAN,0.3132530120481928
284,sp|P30512|1A29_HUMAN,sp|P30457|1A66_HUMAN,0.345679012345679
285,sp|P30512|1A29_HUMAN,sp|P30453|1A34_HUMAN,0.358974358974359
286,sp|P30512|1A29_HUMAN,sp|P16189|1A31_HUMAN,0.5441176470588235
287,sp|Q9NVI7|ATD3A_HUMAN,sp|Q5T9A4|ATD3B_HUMAN,0.3854748603351955
288,sp|Q13956|CNCG_HUMAN,sp|P18545|CNRG_HUMAN,0.26666666666666666
289,sp|Q5HYN5|CT451_HUMAN,sp|P0DMU7|CT456_HUMAN,0.7894736842105263
290,sp|Q5HYN5|CT451_HUMAN,sp|Q8NHU0|CT453_HUMAN,0.9444444444444444
291,sp|Q5HYN5|CT451_HUMAN,sp|P0DMV2|CT459_HUMAN,0.6428571428571429
292,sp|Q5HYN5|CT451_HUMAN,sp|P0DMU9|CT45A_HUMAN,0.5
293,sp|Q5HYN5|CT451_HUMAN,sp|P0DMV1|CT458_HUMAN,0.6428571428571429
294,sp|Q5HYN5|CT451_HUMAN,sp|Q5DJT8|CT452_HUMAN,0.6428571428571429
295,sp|Q5HYN5|CT451_HUMAN,sp|P0DMV0|CT457_HUMAN,0.7894736842105263
296,sp|Q5HYN5|CT451_HUMAN,sp|P0DMU8|CT455_HUMAN,0.7894736842105263
